File,Original rows,Removed rows,Kept rows,Mean PPL
all_songs_1_claude_example_idf_styles_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,0,1199,40.459680186598575
all_songs_1_nova_idf_styles_examples_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,272,927,17.396145645725944
all_songs_2_claude_idf_styles_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1212,1,1211,41.22855301045072
all_songs_2_nova_idf_styles_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,216,983,19.041084710360785
all_songs_3_claude_idf_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,0,1199,36.1663805378587
all_songs_3_nova_idf_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,65,1134,17.65952173448324
all_songs_4_claude_styles_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1198,0,1198,45.07847744316012
all_songs_4_nova_styles_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,148,1051,15.84309049882172
all_songs_5_claude_raw_author_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,0,1199,37.17100033589062
all_songs_5_nova_raw_author_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,99,1100,17.62964108878916
all_songs_6_claude_explanatory_dictionary_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1198,0,1198,40.333145907406816
all_songs_6_nova_explanatory_dictionary_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1168,0,1168,16.760325708617902
all_songs_7_claude_idf_styles_rag_example_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1198,0,1198,38.911125293757166
all_songs_7_nova_idf_styles_rag_example_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1122,33,1089,17.528090203432342
all_songs_8_claude_idf_styles_rag_example_makedonizer_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,0,1199,37.7987386705082
all_songs_8_nova_idf_styles_rag_example_makedonizer_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1132,53,1079,19.596051812945305
all_songs_9_claude_idf_styles_explanatory_dictionary_makedonizer_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1199,0,1199,38.42968425917765
all_songs_9_nova_idf_styles_explanatory_dictionary_makedonizer_with_perplexity_with_bleu_with_rouge_with_custom_bertscore.csv,1166,2,1164,18.6162996503086
